Questions,Category
Compare renewable and non-renewable energy sources.,K4
Differentiate between weather and climate.,K4
Analyze the themes in To Kill a Mockingbird.,K4
Examine the factors that led to the Industrial Revolution.,K4
Compare prokaryotic and eukaryotic cells.,K4
Contrast the North and South before the Civil War.,K4
Analyze how setting affects the mood of the story.,K4
Examine the relationship between mass and weight.,K4
Differentiate between kinetic and potential energy.,K4
Compare and contrast the Roman and Greek civilizations.,K4
Analyze the author's use of imagery in this poem.,K4
Examine the causes and effects of deforestation.,K4
Differentiate between similes and metaphors.,K4
Compare the legislative and executive branches of government.,K4
Analyze the economic impact of the Great Depression.,K4
Examine how the author develops the protagonist.,K4
Assess the appropriateness of an author's conclusions based on the evidence given.,K5
Assess the importance of understanding seasonal patterns.,K5
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,K5
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics,K5
Critique an experimental design or a research proposal.,K5
Evaluate appropriate and inappropriate actions of characters.,K5
Evaluate board games and justify why rules are important.,K5
Evaluate the corrosion monitoring needs of a chemical processing plant,K5
Evaluate the level of galvanic coupling between two metals using basic kinetic information,K5
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,K5
Evaluate whether their model is a true representation of the local environment.,K5
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,K5
Judge the value of the proposal?,K5
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,K5
Justify your choice of data structure.,K5
Evaluate the effectiveness of renewable energy sources.,K5
Critique the author's argument in this article.,K5
Assess whether online education is better than classroom learning.,K5
Justify whether artificial intelligence is beneficial to society.,K5
Which economic policy is more effective and why?,K5
Which strategy is better for reducing poverty?,K5
Which approach is more sustainable?,K5
Which method is more efficient and why?,K5
Which solution would work best?,K5
Which option is more cost-effective?,K5
Which technology is better suited for this purpose?,K5
Which policy would have greater impact?,K5
Which framework is more appropriate?,K5
Which model is more accurate?,K5
Evaluate the credibility of this news source.,K5
Assess the ethical implications of genetic engineering.,K5
Critique the experimental methodology used in this study.,K5
Judge whether the evidence supports the conclusion.,K5
Evaluate the impact of social media on mental health.,K5
Justify your position on capital punishment.,K5
Assess the validity of this argument.,K5
Evaluate the effectiveness of this advertising campaign.,K5
Critique the author's use of persuasive techniques.,K5
Judge the historical accuracy of this film.,K5
Evaluate competing theories of the origin of the universe.,K5
Assess which solution would best address climate change.,K5
Justify your recommendation for the best energy policy.,K5
Evaluate the strengths and weaknesses of democracy.,K5
Critique the logic of this philosophical argument.,K5
Compose a class story.,K6
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,K6
Compose a rhythm or put new words to a known melody.,K6
Compose a simple rap or rhyme about zoo animals.,K6
Compose music for a frog play.,K6
Compose a complete C program that reads text strings from a text file into a suitable data structure,K6
Compose a device that would assist an athlete in their training.,K6
Compose an original work which incorporates five common materials in sculpture.,K6
Compose your own note-taking design that incorporates all the advantages of the Cornell Method.,K6
Create a chart that compares things that use electricity and things that do NOT use electricity.,K6
Create a new product. Give it a name and plan a marketing campaign.,K6
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,K6
Create a storyboard for a sequel to your book. Use the same characters.,K6
Create an equation to represent the solution to this problem.,K6
Create and perform a play about frogs.,K6
Create plan of local environment by drawing around boxes.,K6
Design a building according to given specifications,K6
Design a machine to perform a specific task.,K6
Design a new animal to live in the jungle.,K6
Design a poster for this book.,K6
Design a catapult of wood craft sticks.,K6
Design a diagram that summarizes the information.,K6
Design a museum exhibit.,K6
Design a new business plan that considers both finances and ethics.,K6
Design a solution to,K6
Design an experiment to test water quality.,K6
Develop a mobile application for college students.,K6
Create a business plan for a startup company.,K6
Propose a solution to reduce air pollution.,K6
Write a short story about space exploration.,K6
Design a sustainable building for a tropical climate.,K6
Create a marketing strategy for a new product.,K6
Develop a lesson plan for teaching fractions.,K6
Compose an original symphony.,K6
Formulate a hypothesis about climate change.,K6
Devise a plan to improve traffic congestion.,K6
Invent a new game that teaches math concepts.,K6
Develop a mobile app to help students study.,K6
Create a sculpture using recycled materials.,K6
Propose a solution to homelessness in your city.,K6
Write a screenplay for a documentary.,K6
Design a robot to clean the ocean.,K6
Develop a training program for marathon runners.,K6
Create an advertising campaign for environmental awareness.,K6
Compose a song about social justice.,K6
Formulate a new theory of learning.,K6
Devise a system to reduce food waste.,K6
Hello how are you,not_blooms
What time is it now,not_blooms
Close the door please,not_blooms
Bring me some water,not_blooms
I am feeling tired today,not_blooms
Where is the nearest bus stop,not_blooms
Where is the library?,not_blooms
Where is the bathroom?,not_blooms
Where can I find a taxi?,not_blooms
Where is the nearest ATM?,not_blooms
Where is the train station?,not_blooms
Where should I park?,not_blooms
Where is the exit?,not_blooms
How do I get to the airport?,not_blooms
Which way to the mall?,not_blooms
Where is the post office?,not_blooms
Where is my package?,not_blooms
Where did you put my keys?,not_blooms
Where are you now?,not_blooms
Where is the meeting room?,not_blooms
Call me later tonight,not_blooms
Good morning everyone,not_blooms
Please wait here,not_blooms
That movie was amazing,not_blooms
How are you doing today?,not_blooms
What's up?,not_blooms
Nice to meet you,not_blooms
Have a great day,not_blooms
See you later,not_blooms
Thanks for your help,not_blooms
You're welcome,not_blooms
Excuse me,not_blooms
I'm sorry,not_blooms
Congratulations,not_blooms
Happy birthday,not_blooms
Good luck,not_blooms
Take care,not_blooms
What's your name?,not_blooms
How old are you?,not_blooms
Where are you from?,not_blooms
What's your favorite color?,not_blooms
Do you like pizza?,not_blooms
Can you help me?,not_blooms
Please send me the file,not_blooms
Turn on the lights,not_blooms
Open the window,not_blooms
Pass me the salt,not_blooms
Sit down,not_blooms
Stand up,not_blooms
Be quiet,not_blooms
Hurry up,not_blooms
Slow down,not_blooms
Stop talking,not_blooms
Start the presentation,not_blooms
Is Java easy?,not_blooms
Is Python better than Java?,not_blooms
Is machine learning hard?,not_blooms
Is AI dangerous?,not_blooms
Should I learn Python or R?,not_blooms
Which laptop is best?,not_blooms
What should I eat for lunch?,not_blooms
Is it going to rain today?,not_blooms
How much does coffee cost?,not_blooms
What's the weather like?,not_blooms
Can you recommend a good movie?,not_blooms
Tell me a joke,not_blooms
What's the meaning of life?,not_blooms
Do you believe in aliens?,not_blooms
What is your hobby?,not_blooms
What music do you listen to?,not_blooms
Do you like sports?,not_blooms
Are you happy?,not_blooms
Are you tired?,not_blooms
Do you feel okay?,not_blooms
Is everything alright?,not_blooms
How was your weekend?,not_blooms
What are you up to?,not_blooms
Where do you live?,not_blooms
What do you do for a living?,not_blooms
What's your dream job?,not_blooms
Tell me something interesting,not_blooms
Say something funny,not_blooms
Do you prefer cats or dogs?,not_blooms
What's your favorite quote?,not_blooms
Is the library open today?,not_blooms
What time does the bus arrive?,not_blooms
How far is the airport?,not_blooms
Can you call me later?,not_blooms
Please repeat that,not_blooms
Turn off the fan,not_blooms
Which phone should I buy?,not_blooms
Should I go to the gym today?,not_blooms
Is it too late to start coding?,not_blooms
Which university is the best?,not_blooms
What programming language should I learn first?,not_blooms
What is the best IDE to use?,not_blooms
Tell me a fun fact,not_blooms
What superpower would you choose?,not_blooms
Can a computer think?,not_blooms
Is the internet useful?,not_blooms
Do robots have feelings?,not_blooms
Can AI replace humans?,not_blooms
Is social media good or bad?,not_blooms
Is cryptocurrency a good investment?,not_blooms
Is working from home better?,not_blooms
Is online education as good as offline?,not_blooms
Are you bored?,not_blooms
Do you feel stressed?,not_blooms
Hope you are having a good day,not_blooms
Welcome back,not_blooms
What is 5 plus 10?,not_blooms
What is 2 times 2?,not_blooms
Convert 10 meters to centimeters,not_blooms
How many days are in a year?,K1
How many hours in a day?,K1
Write a function in Python that reverses a string.,K3
Write a program to find the factorial of a number.,K3
Write a function to check if a number is prime.,K3
Write a Python function that sorts a list of numbers.,K3
Write a code to implement binary search.,K3
Write a function that counts vowels in a string.,K3
Write a program to calculate simple interest.,K3
Write a function to find the maximum element in an array.,K3
Write code to remove duplicates from a list.,K3
Write a program to swap two numbers without a temporary variable.,K3
How many bits are in a byte?,K1
How many bytes are in a kilobyte?,K1
How many planets are in the solar system?,K1
How many sides does a hexagon have?,K1
How many elements are in the periodic table?,K1
How many continents are on Earth?,K1
How many chambers does the human heart have?,K1
How many bones are in the human body?,K1
